name,symbol,slug,athRoi
Project SEED,SHILL,project-seed,2508.33
GameFi.org,GAFI,gamefi,733.55
Dreams Quest,DREAMS,dreams-quest,610.6
Sidus,SIDUS,sidus-heroes,196.44
SpaceCrypto,SPG,spacecrypto,117.32
SpaceY2025,SPAY,spacey-2025,111.35
DeathRoad,DRACE,deathroad,106.01
MetaWars,WARS,meta-wars,96.82
MetaGods,MGOD,metagods,89.06
Bemil Coin,BEM,bemil,85.4
Solice,SLC,solice,70.71
Sidus Heroes DAO,SENATE,sidus-heroes-senate,58.58
The Killbox,KBOX,the-killbox,53.83
GameStation,GAMER,game-station,52.45
Ftribe Fighters,F2C,ftribe-fighters,51.85
Titan Hunters,TITA,titan-hunters,49.8
Orbitau,TAUM,orbitau,49.63
Mech Master,MECH,mech-master,49.45
MyMasterWar,MAT,mymasterwar,47.64
Meta Spatial,SPAT,meta-spatial,47.54
GunStar Metaverse,GSTS,gunstar-metaverse,42.3
Warena,RENA,warena,40.48
Heroverse,HER,heroverse,39.6
Ertha,ERTHA,ertha,38.16
Dark Frontiers,DARK,dark-frontiers,35.95
Kaby Arena,KABY,kaby-arena,34.7
Aspo World,ASPO,aspo-world,33.64
Planet Sandbox,PSB,planet-sandbox,32.22
Polygonum Online,POG,polygonum-online,32.15
Legends of Mitra,MITA,legends-of-mitra,29.49
Rebel Bots,RBLS,rebelbots,28.46
Crypto Hunters,CRH,crypto-hunters,19.93
PlaceWar,PLACE,placewar,19.25
Earn Network,EARN,earn-network,17.0
Legends of Elysium,LOE,legends-of-elysium,16.42
GemUni,GENI,gemuni,16.21
beFITTER,FIU,befitter,15.81
XANA,XETA,xana,15.13
Oly Sport,OLY,oly-sport,14.45
WAM,WAM,wam,14.33
Edu3Labs,NFE,edu-3-labs,14.21
HyperGPT,HGPT,hypergpt,13.39
Badmad Robots,METAL,drunk-robots,12.49
OVAL3,OVL3,oval-3,11.66
MetaDOS,SECOND,metados,11.6
Spellfire,SPELLFIRE,spellfire,10.2
Unbound Finance,UNB,unbound-finance,10.01
Prometheus,MGA,prometheus,9.93
web3war,FPS,web-3-war,8.83
BRCStarter,BRCST,brcstarter,7.66
Orbofi AI ,OBI,orbofi,7.48
Devomon,EVO,devomon,7.25
Exverse,EXVG,exverse,7.18
Eclipse Fi,ECLIP,eclipse-fi,6.5
Animalia,ANIM,animalia,6.33
Vendetta Games,VDT,vendetta-games,5.7
Bullieverse,BULL,bullieverse,5.08
Petoshi,PETOSHI,petoshi,4.98
Laika AI,LKI,laika-ai,4.95
Arbipad,ARBI,arbipad,4.92
PlayZap,PZP,playzap,4.71
The Unfettered Ecosystem,SOULS,theunfettered,4.12
UFORIKA,FORA,uforika,4.09
Cyber Arena,CAT,cyber-arena,4.06
Eldarune,ELDA,eldarune,3.94
Snapmuse,SMX,snapmuse,3.86
PLEXUS,PLX,plexus-app,3.75
PopBRC,PECL,pecland,3.68
Cryptopia,TOS,cryptopia,3.6
Kingdom Karnage,KKT,kingdom-karnage,3.39
NexGami,NEXG,nexgami,3.12
Ethlas,ELS,ethlas,3.09
Legends of Elumia,ELU,legends-of-elumia,3.0
Monsterra,MSTR,monsterra,2.85
Paysenger,EGO,paysenger,2.78
Unibit,UIBT,unibit,2.76
Kunji Finance,KNJ,kunji,2.37
Bowled,BWLD,bowled-io,2.26
Atem Network,ATEM,atem-network,2.2
Oceanland,OLAND,oceanland,2.04
X-Metaverse,XMETA,x-metaverse,2.0
Trinity Of The Fabled,ABYS,thefabled,1.63
Agoradex,AGA,agoradex,1.43
moonboots DAO,MBDAO,moonbootsdao,1.36
