slug,athRoi
project-seed,2508.33
gamefi,733.55
dreams-quest,610.6
sidus-heroes,196.44
spacecrypto,117.32
spacey-2025,111.35
deathroad,106.01
meta-wars,96.82
metagods,89.06
bemil,85.4
solice,70.71
sidus-heroes-senate,58.58
the-killbox,53.83
game-station,52.45
ftribe-fighters,51.85
titan-hunters,49.8
orbitau,49.63
mech-master,49.45
mymasterwar,47.64
meta-spatial,47.54
gunstar-metaverse,42.3
warena,40.48
heroverse,39.6
ertha,38.16
dark-frontiers,35.95
kaby-arena,34.7
aspo-world,33.64
planet-sandbox,32.22
polygonum-online,32.15
legends-of-mitra,29.49
rebelbots,28.46
crypto-hunters,19.93
placewar,19.25
earn-network,17.0
legends-of-elysium,16.42
gemuni,16.21
befitter,15.81
xana,15.13
oly-sport,14.45
wam,14.33
edu-3-labs,14.21
hypergpt,13.39
drunk-robots,12.49
oval-3,11.66
metados,11.6
spellfire,10.2
unbound-finance,10.01
prometheus,9.93
web-3-war,8.83
brcstarter,7.66
orbofi,7.48
devomon,7.25
exverse,7.18
eclipse-fi,6.5
animalia,6.33
vendetta-games,5.7
bullieverse,5.08
petoshi,4.98
laika-ai,4.95
arbipad,4.92
playzap,4.71
theunfettered,4.12
uforika,4.09
cyber-arena,4.06
eldarune,3.94
snapmuse,3.86
plexus-app,3.75
pecland,3.68
cryptopia,3.6
kingdom-karnage,3.39
nexgami,3.12
ethlas,3.09
legends-of-elumia,3.0
monsterra,2.85
paysenger,2.78
unibit,2.76
kunji,2.37
bowled-io,2.26
atem-network,2.2
oceanland,2.04
x-metaverse,2.0
thefabled,1.63
agoradex,1.43
moonbootsdao,1.36
